PKR,USD,23/2/2019,1000
MYR,USD,23/2/2019,1000
MYR,MYR,23/2/2019,3333
MYR,USD,23/2/2019,34343
PKR,PKR,23/2/2019,1000
PKR,USD,,2000
PKR,MYR,23/2/2019,1000
PKR,USD,23/2/2019,1000
PKR,PKR,23/2/2019,1000
PKR,MYR,23/2/2019,1000
PKR,USD,23/2/2019,1000
PKR,USD,23/2/2019,1000
PKR,MYR,23/2/2019,1000
PKR,PKR,23/2/2019,1000
MYR,,23/2/2019,1000
PKR,USD,23/2/2019,1000
EURO,USD,,1000
PKR,USD,23/2/2019,1000
PKR,USD,23/2/2019,1000
USD,MYR,,1000
PKR,USD,23/2/2019,1000
PKR,USD,23/2/2019,1001
MYR,USD,23/2/2019,1002
MYR,MYR,23/2/2019,1003
MYR,USD,23/2/2019,1004
PKR,PKR,23/2/2019,1005
PKR,USD,,1006
PKR,MYR,23/2/2019,1007
PKR,USD,23/2/2019,1008
PKR,PKR,23/2/2019,1009
PKR,MYR,23/2/2019,1010
PKR,USD,23/2/2019,1011
PKR,USD,23/2/2019,1012
PKR,MYR,23/2/2019,1013
PKR,PKR,23/2/2019,1014
MYR,,23/2/2019,1015
PKR,USD,23/2/2019,1016
EURO,USD,,1017
PKR,USD,23/2/2019,1018
PKR,USD,23/2/2019,1019
USD,MYR,,1020
PKR,USD,23/2/2019,1021
PKR,USD,23/2/2019,1022
MYR,USD,23/2/2019,1023
MYR,MYR,23/2/2019,1024
MYR,USD,23/2/2019,1025
PKR,PKR,23/2/2019,1026
PKR,USD,,1027
PKR,MYR,23/2/2019,1028
PKR,USD,23/2/2019,1029
PKR,PKR,23/2/2019,1030
PKR,MYR,23/2/2019,1031
PKR,USD,23/2/2019,1032
PKR,USD,23/2/2019,1033
PKR,MYR,23/2/2019,1034
PKR,PKR,23/2/2019,1035
MYR,,23/2/2019,1036
PKR,USD,23/2/2019,1037
EURO,USD,,1038
PKR,USD,23/2/2019,1039
PKR,USD,23/2/2019,1040
USD,MYR,,1041
PKR,USD,23/2/2019,1042
PKR,USD,23/2/2019,1043
MYR,USD,23/2/2019,1044
MYR,MYR,23/2/2019,1045
MYR,USD,23/2/2019,1046
PKR,PKR,23/2/2019,1047
PKR,USD,,1048
PKR,MYR,23/2/2019,1049
